type_habits,prix,adresse,image_lien
T-shirt Jules,6500.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5167839_uploaded_image1_1738613049.jpg
Dialabé  homme,10000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181202_uploaded_image1_1739296896.jpg
Djellaba,12000.0,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5198746_uploaded_image1_1740258870.jpg
Chaussures homme,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179614_uploaded_image1_1739215765.jpg
Blouson homme avec capuche,,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5198094_uploaded_image1_1740224914.jpg
Abaya homme,7500.0,"location_onSacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5197736_uploaded_image1_1740211862.jpg
Djialabé,12000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196625_uploaded_image1_1740145369.jpg
Diokîn pour homme,27000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5182298_uploaded_image1_1739364640.jpg
Pull pour homme,12500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5186517_uploaded_image1_1739580333.jpg
Djialabé,7000.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5195658_uploaded_image1_1740079988.jpg
Jogging en coton,8000.0,"location_onMamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5151233_uploaded_image1_1737722780.jpg
Pulls collant,5000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5193321_uploaded_image1_1739977517.jpg
Vêtement homme,9500.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5192223_uploaded_image1_1739913574.jpg
Jogging,3000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5190565_uploaded_image1_1739835602.jpg
Djellaba pour homme,15000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141181_uploaded_image1_1737203810.jpg
Costume,55000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5186410_uploaded_image1_1739572880.jpg
Boubous homme,850000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5186335_uploaded_image1_1739567861.jpg
Pantalon  homme,40000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5184663_uploaded_image1_1739469851.jpg
Vêtements homme,12000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5184001_uploaded_image1_1739445536.jpg
Chaussures homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5182989_uploaded_image1_1739389601.jpg
Sous-vêtements,12500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5135693_uploaded_image1_1736930542.jpg
Dialabe,12000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5181605_uploaded_image1_1739313945.jpg
Chemise homme,15000.0,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181581_uploaded_image1_1739311519.jpg
Polo Boss,4000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5180647_uploaded_image1_1739276033.jpg
Pull Over,8000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179844_uploaded_image1_1739225129.jpg
Lot de 3 débardeur,5000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130429_uploaded_image1_1736616495.jpg
Débardeur en coton,5000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5134851_uploaded_image1_1736879211.jpg
Lot de 3 débardeur,3000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141405_uploaded_image1_1737216366.jpg
T-shirts,5000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5176044_uploaded_image1_1739005206.jpg
Vetement homme,5000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127469_uploaded_image1_1736445621.jpg
Chemise homme,15000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127408_uploaded_image1_1736443373.jpg
Lacoste homme,5000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5171118_uploaded_image1_1738755635.jpg
Ensemble Nike Tech Fleece,40000.0,"location_onGrand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5168364_uploaded_image1_1738628825.jpg
Vetements homme,15000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119513_uploaded_image1_1736026950.jpg
Chemises El-Hadji,18000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119265_uploaded_image1_1736012510.jpg
Chemise el hadji,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5119693_uploaded_image1_1736044548.jpg
Ensemble blouson,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5166796_uploaded_image1_1738580809.jpg
Ensemble homme,17000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5166739_uploaded_image1_1738579217.jpg
Ensemble homme,17000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5166733_uploaded_image1_1738579033.jpg
Ensemble homme,32500.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5166726_uploaded_image1_1738578838.jpg
Vêtements homme,10000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5165738_uploaded_image2_1738518505.jpeg
Pantalon,14000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5165652_uploaded_image1_1738513597.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165562_uploaded_image1_1738508823.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165560_uploaded_image1_1738508708.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165558_uploaded_image1_1738508550.jpg
Vêtements homme,7500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5165554_uploaded_image1_1738508381.jpg
Ensemble homme,20000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5116407_uploaded_image1_1735847542.jpg
Ensemble 3 Pièces,30000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5160811_uploaded_image1_1738241510.jpg
Jogging coton homme,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5159405_uploaded_image1_1738166663.jpg
Jogging coton bas large,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5159399_uploaded_image1_1738166591.jpg
Lot de caleçons,10000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5156588_uploaded_image1_1738049517.jpg
Chemises homme en coton,10000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5156585_uploaded_image1_1738049440.jpg
Jean Celio,10000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5156025_uploaded_image1_1738009610.jpg
Ensemble homme,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5155643_uploaded_image1_1737994709.jpg
Vêtements homme,7500.0,"location_onKaolack, Sénégal",https://images.coinafrique.com/thumb_5155250_uploaded_image1_1737982432.jpg
Costume africain,40000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5155092_uploaded_image2_1737976206.jpeg
Vêtements homme,13000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154164_uploaded_image1_1737913900.jpg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154161_uploaded_image1_1737913840.jpg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154157_uploaded_image2_1737913775.jpeg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154154_uploaded_image1_1737913707.jpg
Vêtements homme,,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5154152_uploaded_image1_1737913645.jpg
Pulls,11000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5149969_uploaded_image1_1737655503.jpg
T-shirt,8000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5149957_uploaded_image1_1737655158.jpg
Dialabé homme,10000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5149891_uploaded_image1_1737653080.jpg
