type_chaussures,prix,adresse,image_lien
Chaussures orthopédiques en cuir,,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5199034_uploaded_image2_1740297852.jpeg
Chaussures  homme Dior,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179616_uploaded_image1_1739215885.jpg
Chaussures Nike,15000.0,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5197383_uploaded_image1_1740179093.jpg
Chaussures Parada Milano,16000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5177848_uploaded_image1_1739130539.jpg
Baskets Adidas,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5177843_uploaded_image1_1739130312.jpg
Madden nyc maxwell - Bottes,35000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196431_uploaded_image1_1740135850.jpg
Chaussures orthopédiques,,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196227_uploaded_image1_1740125424.jpg
Chaussures homme,15000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5194113_uploaded_image1_1740005785.jpg
Baskets Nikes,10000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5194100_uploaded_image1_1740005290.jpg
Chaussures homme,,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5193398_uploaded_image1_1739980600.jpg
Chaussures homme,20000.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5193216_uploaded_image1_1739972583.jpg
Chaussures Timberlands,22000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5191477_uploaded_image1_1739887936.jpg
Chaussures Adidas,23000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5191469_uploaded_image1_1739887825.jpg
Chaussures en cuir,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5149739_uploaded_image1_1737648314.jpg
Baskets  Nike T 45,35000.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5188402_uploaded_image1_1739722646.jpg
Chaussures Nike,35000.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5188393_uploaded_image1_1739721997.jpg
Chaussures Dior b22,27000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5187627_uploaded_image1_1739657463.jpg
Chaussures Louis Vuitton,40000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5140176_uploaded_image1_1737136642.jpg
Chaussure Adidas,15000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5187107_uploaded_image1_1739630380.jpg
Chaussures homme,15000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg
Chaussures homme,12000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5186402_uploaded_image1_1739571890.jpg
Chaussures homme,18000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5186400_uploaded_image1_1739571800.jpg
Chaussures fermées,12000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5186396_uploaded_image1_1739571589.jpg
Chaussures homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5186288_uploaded_image1_1739564697.jpg
Sandales Zara,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5185077_uploaded_image1_1739493115.jpg
Chaussures homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5183078_uploaded_image1_1739394084.jpg
Chaussures homme,22000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5181270_uploaded_image1_1739298996.jpg
Chaussures homme,23000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5181267_uploaded_image1_1739298906.jpg
Timberlands homme,23000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5181265_uploaded_image1_1739298847.jpg
Chaussures homme,21000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5181262_uploaded_image1_1739298791.jpg
Chaussures homme,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5181164_uploaded_image1_1739295863.jpg
Chaussures homme,15000.0,"location_onZiguinchor, Sénégal",https://images.coinafrique.com/thumb_5179631_uploaded_image1_1739216413.jpg
Chaussures Nike Jordan,18000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179175_uploaded_image1_1739198783.jpg
Chaussures  Air Jordan,25000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179168_uploaded_image1_1739198279.jpg
Chaussures Nike Air,22000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179104_uploaded_image1_1739196241.jpg
Chaussures hommes,15000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5178703_uploaded_image1_1739182394.jpg
Chaussures homme,15000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5178700_uploaded_image1_1739182330.jpg
Chaussures homme,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5129157_uploaded_image1_1736533953.jpg
Chaussures bottes moto,30000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5176998_uploaded_image1_1739057835.jpg
Chaussures Dior b30,30000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5176593_uploaded_image1_1739030967.jpg
Tout terrain,20000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145823_uploaded_image1_1737473366.jpg
Chaussures de ville,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145826_uploaded_image1_1737473583.jpg
chaussure ouverte,20000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145127_uploaded_image1_1737450607.jpg
mocassin alden,18000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145122_uploaded_image1_1737450413.jpg
mocassin classique,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145116_uploaded_image1_1737450247.jpg
Mocassin pierre cardin,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5144361_uploaded_image1_1737399759.jpg
Chaussures Jordan 11,10000.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5175476_uploaded_image1_1738955928.jpg
Sandales Gucci,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127678_uploaded_image1_1736452468.jpg
Sandales Gucci,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127684_uploaded_image1_1736452819.jpg
Sandales Burbery,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127688_uploaded_image1_1736452967.jpg
Chaussures homme,27000.0,"location_onSacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5172099_uploaded_image1_1738792469.jpg
Chaussures Daim,15000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171907_uploaded_image1_1738783067.jpg
Chaussures Berluti,22000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171903_uploaded_image1_1738782841.jpg
Chaussures Berluti,22000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171902_uploaded_image1_1738782763.jpg
Chaussures homme,22000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171892_uploaded_image1_1738782485.jpg
